solvable;conf;price;weight;time;complexity
True;1011;3951;322;2.291700366185978e-05;12
False;1011;5362;429;2.5026005459949374e-05;15
False;0111;5562;240;2.5690998882055283e-05;15
True;0011;2606;183;2.179599687224254e-05;10
True;1110;5897;280;1.8341001123189926e-05;12
True;0100;2381;55;6.5019994508475065e-06;2
False;1001;1797;246;1.2140000762883574e-05;7
True;0000;0;0;3.769993782043457e-06;1
False;0011;2724;230;1.8087004718836397e-05;10
True;1110;2693;268;1.9662002159748226e-05;14
True;1110;3457;356;2.1271996956784278e-05;14
True;0011;3641;222;1.5787001757416874e-05;8
True;1001;3591;358;2.134499663952738e-05;10
False;1100;1470;226;1.62799988174811e-05;6
False;1011;2614;341;2.080699778161943e-05;12
True;0111;4497;411;2.6293993869330734e-05;14
True;1110;3951;474;2.540899731684476e-05;15
False;0110;4155;253;1.7564001609571278e-05;9
True;0000;0;0;4.818000888917595e-06;1
True;1011;4421;388;2.5673005438875407e-05;14
True;0111;5646;215;2.5489003746770322e-05;14
True;1001;3814;132;2.0507999579422176e-05;10
False;0111;4419;203;2.200699964305386e-05;12
False;1110;5022;67;2.48829965130426e-05;14
False;1100;2779;318;2.165699697798118e-05;11
True;1001;2772;40;1.3945995306130499e-05;7
False;0001;2383;212;3.21080005960539e-05;5
True;1101;4574;545;2.602000313345343e-05;15
True;0101;3854;223;1.773199619492516e-05;8
True;0011;2845;33;8.282004273496568e-06;4
False;1010;4109;224;1.7225996998604387e-05;8
False;0110;2798;102;1.8431994249112904e-05;8
False;1010;3459;345;2.305800444446504e-05;11
True;1110;5566;401;2.6665999030228704e-05;15
True;1101;3520;91;2.180799492634833e-05;11
False;0111;4276;448;2.6466004783287644e-05;15
True;1110;4532;339;2.659899473655969e-05;15
True;0110;1921;119;2.073499490506947e-05;9
True;0010;2300;9;6.946000212337822e-06;3
True;0111;5758;251;2.21820009755902e-05;12
False;1101;4672;293;2.037399826804176e-05;10
True;1110;2718;318;2.228900120826438e-05;12
True;0101;2476;86;8.511000487487763e-06;4
False;1010;4205;99;2.1509993530344218e-05;11
True;1011;2140;249;1.856599556049332e-05;10
True;0001;418;21;5.624002369586378e-06;2
True;1110;3991;311;4.7891997382976115e-05;11
False;0111;3923;364;4.482599615585059e-05;15
False;0111;4071;127;2.794800093397498e-05;13
False;1000;2258;32;1.1169002391397953e-05;4
False;0100;802;102;1.3166005373932421e-05;4
True;1101;2792;210;2.3428001441061497e-05;12
True;0010;420;17;6.9590023485943675e-06;2
False;1110;4228;260;2.212999970652163e-05;10
True;1011;6555;204;2.9087001166772097e-05;15
False;0010;237;28;7.100999937392771e-06;2
True;0000;0;0;5.282003257889301e-06;1
True;1001;3694;255;1.7577003745827824e-05;8
True;0101;3988;186;1.650500053074211e-05;6
False;0111;3262;249;2.570400101831183e-05;12
True;1011;5488;355;3.346300218254328e-05;14
False;0100;215;3;7.896000170148909e-06;2
True;0111;3410;369;2.9652001103386283e-05;15
False;0001;168;53;6.395996024366468e-06;2
True;0010;2122;36;7.415001164190471e-06;2
True;0001;2035;30;6.176000169944018e-06;2
